GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-12-26,OKC @ IND,IND,1628983,22400410,0,3.0,34.4,32.7,37.0,35.2,24.0,7.0,29.68,111.5,111.5,227.1,115.6,45,shai_gilgeous-alexander
2024-12-27,MIN @ HOU,HOU,1630162,22400422,0,2.0,20.8,20.8,34.4,33.0,20.2,1.6,23.504,107.7,107.7,219.3,111.6,24,anthony_edwards
2024-12-27,NYK @ ORL,ORL,1628973,22400419,0,2.0,23.2,22.6,35.6,34.7,17.4,7.4,23.456,106.1,106.1,209.8,103.7,26,jalen_brunson
2024-12-28,DET @ DEN,DEN,1630595,22400432,0,2.0,26.8,25.5,38.0,36.0,21.6,6.4,28.416000000000004,119.0,119.0,241.6,122.6,17,cade_cunningham
2024-12-28,NYK @ WAS,WAS,1628973,22400429,0,1.0,22.2,23.1,35.4,35.7,18.0,5.8,22.952,119.4,119.4,226.1,106.7,55,jalen_brunson
2024-12-28,OKC @ CHA,CHA,1628983,22400428,0,2.0,35.6,33.6,37.0,35.3,23.8,8.4,29.896,114.8,114.8,219.4,104.6,22,shai_gilgeous-alexander
2024-12-28,GSW vs. PHX,PHX,201939,22400431,1,3.0,21.4,22.6,32.8,33.1,16.8,2.8,20.432,116.5,116.5,228.5,112.0,22,stephen_curry
2024-12-29,MIN vs. SAS,SAS,1630162,22400441,1,2.0,20.4,22.4,35.8,33.8,19.4,1.6,23.104,115.2,115.2,228.3,113.1,14,anthony_edwards
2024-12-29,OKC vs. MEM,MEM,1628983,22400440,1,1.0,33.6,32.6,36.0,35.0,22.6,6.6,28.904000000000003,114.7,114.7,244.3,129.6,35,shai_gilgeous-alexander
2024-12-30,NYK @ WAS,WAS,1628973,22400443,0,2.0,30.4,26.2,38.2,37.4,21.4,8.8,27.672000000000004,121.2,121.2,232.4,111.2,18,jalen_brunson
